Zeit,"(PDH-CSV 4.0) (Mitteleuropäische Zeit)(-60)","RAM","\\DJ-TESLA\Auslagerungsdatei(\??\C:\pagefile.sys)\Belegung (%)","Auslagerungsdatei","\\DJ-TESLA\Netzwerkadapter(Microsoft Kernel Debug Network Adapter)\Bytes gesendet/s","NetzwerkGesendet","\\DJ-TESLA\Netzwerkadapter(WAN Miniport [IP])\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(WAN Miniport [IPv6])\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(WAN Miniport [Network Monitor])\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(Teredo Tunneling Pseudo-Interface)\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(Microsoft IP-HTTPS Platform Interface)\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(6to4 Adapter)\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(LAN-Verbindung* 1)\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(LAN-Verbindung* 2)\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(LAN-Verbindung* 3)\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(LAN-Verbindung* 4)\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(Microsoft Kernel Debug Network Adapter)\Empfangene Bytes/s","NetzwerkEmpfangen","\\DJ-TESLA\Netzwerkadapter(WAN Miniport [IP])\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(WAN Miniport [IPv6])\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(WAN Miniport [Network Monitor])\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(Teredo Tunneling Pseudo-Interface)\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(Microsoft IP-HTTPS Platform Interface)\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(6to4 Adapter)\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(LAN-Verbindung* 1)\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(LAN-Verbindung* 2)\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(LAN-Verbindung* 3)\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(LAN-Verbindung* 4)\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkschnittstelle(Intel[R] Ethernet Connection I217-LM)\Bytes gesendet/s","\\DJ-TESLA\Netzwerkschnittstelle(Intel[R] Ethernet Connection I217-LM)\Empfangene Bytes/s","FestplatteGeschrieben","FestplatteGelesen","\\DJ-TESLA\Physikalischer Datentr�ger(0 C:)\Bytes geschrieben/s","\\DJ-TESLA\Physikalischer Datentr�ger(_Total)\Bytes geschrieben/s","\\DJ-TESLA\Prozessor(0)\Prozessorzeit (%)","\\DJ-TESLA\Prozessor(1)\Prozessorzeit (%)","\\DJ-TESLA\Prozessor(2)\Prozessorzeit (%)","\\DJ-TESLA\Prozessor(3)\Prozessorzeit (%)","CPU","\\DJ-TESLA\GPU Process Memory(pid_1064_luid_0x00000000_0x00008CD0_phys_0)\Total Committed","\\DJ-TESLA\GPU Process Memory(pid_1064_luid_0x00000000_0x00008FE9_phys_0)\Total Committed","\\DJ-TESLA\GPU Process Memory(pid_2916_luid_0x00000000_0x00008CD0_phys_0)\Total Committed","\\DJ-TESLA\GPU Process Memory(pid_4872_luid_0x00000000_0x00008CD0_phys_0)\Total Committed","\\DJ-TESLA\GPU Process Memory(pid_4872_luid_0x00000000_0x00008FE9_phys_0)\Total Committed","\\DJ-TESLA\GPU Process Memory(pid_4_luid_0x00000000_0x00008CD0_phys_0)\Total Committed","\\DJ-TESLA\GPU Process Memory(pid_4_luid_0x00000000_0x00008FE9_phys_0)\Total Committed","\\DJ-TESLA\GPU Process Memory(pid_4_luid_0x00000000_0x00009030_phys_0)\Total Committed","\\DJ-TESLA\GPU Process Memory(pid_5128_luid_0x00000000_0x00008CD0_phys_0)\Total Committed","\\DJ-TESLA\GPU Process Memory(pid_5148_luid_0x00000000_0x00008CD0_phys_0)\Total Committed","\\DJ-TESLA\GPU Process Memory(pid_5796_luid_0x00000000_0x00008CD0_phys_0)\Total Committed","\\DJ-TESLA\GPU Process Memory(pid_7328_luid_0x00000000_0x00008FE9_phys_0)\Total Committed","\\DJ-TESLA\GPU Process Memory(pid_8176_luid_0x00000000_0x00008CD0_phys_0)\Total Committed","\\DJ-TESLA\GPU Process Memory(pid_824_luid_0x00000000_0x00008CD0_phys_0)\Total Committed",,,,,,
02/28/2023 17:50:41.210,"17:50:41.210","25.299640890513465763","0","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","66326528","2277376","2306048","4718592","16801792","155648","163840","8192","2555904","19812352","53248","4096","4132864","36864",30924800,2654208,2338816,13746176,32768,1880064
02/28/2023 17:50:42.225,"17:50:42.225","25.30713684980457856","0","0","0","0","0","0","0","0","0","0"," "," "," "," ","0","130.3836598456257434","0","0","0","0","0","0"," "," "," "," ","0","130.3836598456257434","246796.51298779289937","246796.51298779289937","8091.6889504194396068","8091.6889504194396068","0","9.2302329909148994602","1.5378798545517602392","1.5378798545517602392","3.076350481824385863","66326528","2277376","2306048","4718592","16801792","155648","163840","8192","2555904","19812352","53248","4096","4132864","36864",30924800,2654208,2338816,13746176,32768,1880064
02/28/2023 17:50:43.225,"17:50:43.225","25.30713684980457856","0","0","0","64.000172800466557987","0","0","0","0","0","0"," "," "," "," ","0","202.00054540147257853","0","0","0","0","0","0"," "," "," "," ","64.000172800466557987","202.00054540147257853","24576.066355379160086","24576.066355379160086","8192.0221184597194224","8192.0221184597194224","0","0","0","0","0","66326528","2277376","2306048","4718592","16801792","155648","163840","8192","2555904","19812352","53248","4096","4132864","36864",30924800,2654208,2338816,13746176,32768,1880064
02/28/2023 17:50:44.225,"17:50:44.225","25.397088477713307242","0","0","0","0","0","0","0","0","0","0"," "," "," "," ","0","639.05841688559053182","0","0","0","0","0","0"," "," "," "," ","0","639.05841688559053182","29468.134701606359158","29468.134701606359158","239809.6479165207129","239809.6479165207129","9.3740393648172659624","9.3740393648172659624","4.6864896767905728225","10.936555927492829454","8.5927810834794833283","66326528","2277376","2306048","4718592","16801792","155648","163840","8192","2555904","19812352","53248","4096","4132864","36864",30924800,2654208,2338816,13746176,32768,1880064
02/28/2023 17:50:45.225,"17:50:45.225","25.133563560697613326","0","0","0","2647.3195008286097618","0","0","0","0","0","0"," "," "," "," ","0","7921.8038051060912039","0","0","0","0","0","0"," "," "," "," ","2647.3195008286097618","7921.8038051060912039","1324469.9692489705049","1324469.9692489705049","20638.410116851897328","20638.410116851897328","4.693942689474194907","6.2563370716139594663","9.3811258358934885848","9.3811258358934885848","7.428137857880812156","63320064","2277376","2306048","4718592","16801792","155648","163840","8192","2555904","19812352","53248","4096","4132864","36864",27942912," ",2338816,13746176,32768,1880064
02/28/2023 17:50:46.226,"17:50:46.226","24.52697319084009564","0","0","0","0","0","0","0","0","0","0"," "," "," "," ","0","1731.8993766462169788","0","0","0","0","0","0"," "," "," "," ","0","1731.8993766462169788","0","0","12287.286108677086304","12287.286108677086304","7.8225012586134461401","7.8225012586134461401","1.5731793100448587808","17.196484181466310304","8.6036665021845148971","63324160","2277376","2306048","4718592","16801792","155648","163840","8192","2555904","19812352","53248","4096","4132864","36864",27942912," ",2338816,13746176,32768,1880064
02/28/2023 17:50:47.226,"17:50:47.226","24.517644877666057823","0","0","0","0","0","0","0","0","0","0"," "," "," "," ","0","579.99251809651661915","0","0","0","0","0","0"," "," "," "," ","0","579.99251809651661915","0","0","12287.841486844819883","12287.841486844819883","1.561397487651861038","1.561397487651861038","1.561397487651861038","1.561397487651861038","1.561397487651861038","63320064","2277376","2306048","4718592","16801792","155648","163840","8192","2555904","19812352","53248","4096","4132864","36864",27942912," ",2338816,13746176,32768,1880064
02/28/2023 17:50:48.225,"17:50:48.225","24.516936909527736077","0","0","0","0","0","0","0","0","0","0"," "," "," "," ","0","132.01501010664912883","0","0","0","0","0","0"," "," "," "," ","0","132.01501010664912883","0","0","12289.397304473519398","12289.397304473519398","0","0","0","0","0","63320064","2277376","2306048","4718592","16801792","155648","163840","8192","2555904","19812352","53248","4096","4132864","36864",27942912," ",2338816,13746176,32768,1880064
02/28/2023 17:50:49.225,"17:50:49.225","24.511106713793964218","0","0","0","0","0","0","0","0","0","0"," "," "," "," ","0","131.994957792612297","0","0","0","0","0","0"," "," "," "," ","0","131.994957792612297","0","0","98300.244930643646512","98300.244930643646512","0","0","0","0","0","63320064","2277376","2306048","4718592","16801792","155648","163840","8192","2555904","19812352","53248","4096","4132864","36864",27942912," ",2338816,13746176,32768,1880064
02/28/2023 17:50:50.225,"17:50:50.225","24.425028014095740758","0","0","0","0","0","0","0","0","0","0"," "," "," "," ","0","2180.2433151539712526","0","0","0","0","0","0"," "," "," "," ","0","2180.2433151539712526","0","0","8192.9143292391436262","8192.9143292391436262","0","0","0","0","0","63320064","2277376","2306048","4718592","16801792","155648","163840","8192","2555904","19812352","53248","4096","4132864","36864",27942912," ",2338816,13746176,32768,1880064
