,Zeit,\\DJ-TESLA\Arbeitsspeicher\Zugesicherte verwendete Bytes (%),\\DJ-TESLA\Auslagerungsdatei(\??\C:\pagefile.sys)\Belegung (%),\\DJ-TESLA\Auslagerungsdatei(_Total)\Belegung (%),\\DJ-TESLA\Netzwerkadapter(Microsoft Kernel Debug Network Adapter)\Bytes gesendet/s,\\DJ-TESLA\Netzwerkadapter(Intel[R] Ethernet Connection I217-LM)\Bytes gesendet/s,\\DJ-TESLA\Netzwerkadapter(WAN Miniport [IP])\Bytes gesendet/s,\\DJ-TESLA\Netzwerkadapter(WAN Miniport [IPv6])\Bytes gesendet/s,\\DJ-TESLA\Netzwerkadapter(WAN Miniport [Network Monitor])\Bytes gesendet/s,\\DJ-TESLA\Netzwerkadapter(Teredo Tunneling Pseudo-Interface)\Bytes gesendet/s,\\DJ-TESLA\Netzwerkadapter(Microsoft IP-HTTPS Platform Interface)\Bytes gesendet/s,\\DJ-TESLA\Netzwerkadapter(6to4 Adapter)\Bytes gesendet/s,\\DJ-TESLA\Netzwerkadapter(LAN-Verbindung* 1)\Bytes gesendet/s,\\DJ-TESLA\Netzwerkadapter(LAN-Verbindung* 2)\Bytes gesendet/s,\\DJ-TESLA\Netzwerkadapter(LAN-Verbindung* 3)\Bytes gesendet/s,\\DJ-TESLA\Netzwerkadapter(LAN-Verbindung* 4)\Bytes gesendet/s,\\DJ-TESLA\Netzwerkadapter(Microsoft Kernel Debug Network Adapter)\Empfangene Bytes/s,\\DJ-TESLA\Netzwerkadapter(Intel[R] Ethernet Connection I217-LM)\Empfangene Bytes/s,\\DJ-TESLA\Netzwerkadapter(WAN Miniport [IP])\Empfangene Bytes/s,\\DJ-TESLA\Netzwerkadapter(WAN Miniport [IPv6])\Empfangene Bytes/s,\\DJ-TESLA\Netzwerkadapter(WAN Miniport [Network Monitor])\Empfangene Bytes/s,\\DJ-TESLA\Netzwerkadapter(Teredo Tunneling Pseudo-Interface)\Empfangene Bytes/s,\\DJ-TESLA\Netzwerkadapter(Microsoft IP-HTTPS Platform Interface)\Empfangene Bytes/s,\\DJ-TESLA\Netzwerkadapter(6to4 Adapter)\Empfangene Bytes/s,\\DJ-TESLA\Netzwerkadapter(LAN-Verbindung* 1)\Empfangene Bytes/s,\\DJ-TESLA\Netzwerkadapter(LAN-Verbindung* 2)\Empfangene Bytes/s,\\DJ-TESLA\Netzwerkadapter(LAN-Verbindung* 3)\Empfangene Bytes/s,\\DJ-TESLA\Netzwerkadapter(LAN-Verbindung* 4)\Empfangene Bytes/s,\\DJ-TESLA\Netzwerkschnittstelle(Intel[R] Ethernet Connection I217-LM)\Bytes gesendet/s,\\DJ-TESLA\Netzwerkschnittstelle(Intel[R] Ethernet Connection I217-LM)\Empfangene Bytes/s,\\DJ-TESLA\Physikalischer Datentr�ger(0 C:)\Bytes gelesen/s,\\DJ-TESLA\Physikalischer Datentr�ger(_Total)\Bytes gelesen/s,\\DJ-TESLA\Physikalischer Datentr�ger(0 C:)\Bytes geschrieben/s,\\DJ-TESLA\Physikalischer Datentraeger(_Total)\Bytes geschrieben/s,\\DJ-TESLA\Prozessor(0)\Prozessorzeit (%),\\DJ-TESLA\Prozessor(1)\Prozessorzeit (%),\\DJ-TESLA\Prozessor(2)\Prozessorzeit (%),\\DJ-TESLA\Prozessor(3)\Prozessorzeit (%),\\DJ-TESLA\Prozessor(_Total)\Prozessorzeit (%),\\DJ-TESLA\GPU Process Memory(pid_1060_luid_0x00000000_0x00008CDA_phys_0)\Total Committed,\\DJ-TESLA\GPU Process Memory(pid_1060_luid_0x00000000_0x00008FF9_phys_0)\Total Committed,\\DJ-TESLA\GPU Process Memory(pid_1112_luid_0x00000000_0x00008CDA_phys_0)\Total Committed,\\DJ-TESLA\GPU Process Memory(pid_3612_luid_0x00000000_0x00008CDA_phys_0)\Total Committed,\\DJ-TESLA\GPU Process Memory(pid_4272_luid_0x00000000_0x00008CDA_phys_0)\Total Committed,\\DJ-TESLA\GPU Process Memory(pid_4272_luid_0x00000000_0x00008FF9_phys_0)\Total Committed,\\DJ-TESLA\GPU Process Memory(pid_4_luid_0x00000000_0x00008CDA_phys_0)\Total Committed,\\DJ-TESLA\GPU Process Memory(pid_4_luid_0x00000000_0x00008FF9_phys_0)\Total Committed,\\DJ-TESLA\GPU Process Memory(pid_4_luid_0x00000000_0x0000903A_phys_0)\Total Committed,\\DJ-TESLA\GPU Process Memory(pid_5580_luid_0x00000000_0x00008CDA_phys_0)\Total Committed,\\DJ-TESLA\GPU Process Memory(pid_5580_luid_0x00000000_0x00008FF9_phys_0)\Total Committed,\\DJ-TESLA\GPU Process Memory(pid_5748_luid_0x00000000_0x00008CDA_phys_0)\Total Committed,\\DJ-TESLA\GPU Process Memory(pid_6440_luid_0x00000000_0x00008CDA_phys_0)\Total Committed,\\DJ-TESLA\GPU Process Memory(pid_6440_luid_0x00000000_0x00008FF9_phys_0)\Total Committed,\\DJ-TESLA\GPU Process Memory(pid_860_luid_0x00000000_0x00008CDA_phys_0)\Total Committed,\\DJ-TESLA\GPU Process Memory(pid_8828_luid_0x00000000_0x00008FF9_phys_0)\Total Committed,\\DJ-TESLA\GPU Process Memory(pid_8832_luid_0x00000000_0x00008CDA_phys_0)\Total Committed,\\DJ-TESLA\GPU Process Memory(pid_9204_luid_0x00000000_0x00008CDA_phys_0)\Total Committed,\\DJ-TESLA\GPU Process Memory(pid_9204_luid_0x00000000_0x00008FF9_phys_0)\Total Committed,\\DJ-TESLA\GPU Process Memory(pid_9212_luid_0x00000000_0x00008FF9_phys_0)\Total Committed,Wert 1-avg[W],startstop
216,17:54:17,24.40408096285632,0,0,0,0,0,0,0,0,0,0, , , , ,0,1468.1420632349477273,0,0,0,0,0,0, , , , ,0,1468.1420632349477273,1779913.3696715072729,1779913.3696715072729,48890.324317157283076,48890.324317157283076,17.176724691882416352,18.739427999582748186,9.3632081533807536289,10.925911461081083687,14.051318076481756236,64962560,2277376,2306048,4718592,21499904,155648,163840,8192,2555904,19812352,53248,4096,4132864,36864,26185728, ,2338816,13746176,32768,1880064,31.391724,runtime
217,17:54:18,31.92611805441,0,0,0,0,0,0,0,0,0,0, , , , ,0,132.75842231500112689,0,0,0,0,0,0, , , , ,0,132.75842231500112689,0,0,28836.738519816004555,28836.738519816004555,43.746129733725680921,56.246989792897750249,12.493979585795500498,10.931372078398993608,30.854612797360459808,64962560,2277376,2306048,4718592,21499904,155648,163840,8192,2555904,19812352,53248,4096,4132864,36864,26185728, ,2338816,13746176,32768,1880064,31.95864,runtime
218,17:54:19,42.59521231115684,0,0,0,0,0,0,0,0,0,0, , , , ,0,1880.1079181945042365,0,0,0,0,0,0, , , , ,0,1880.1079181945042365,0,0,81924.702477922226535,81924.702477922226535,31.245310930205437927,31.245310930205437927,17.181851802292914755,28.120097790669319693,26.948147863684301484,64962560,2277376,2306048,4718592,21499904,155648,163840,8192,2555904,19812352,53248,4096,4132864,36864,26185728, ,2338816,13746176,32768,1880064,51.939216,runtime
219,17:54:20,45.166287628274006,0,0,0,0,0,0,0,0,0,0, , , , ,0,1732.1392639968253206,0,0,0,0,0,0, , , , ,0,1732.1392639968253206,0,0,57348.610828310593206,57348.610828310593206,6.2434839221325866276,37.495655948088391085,29.682612941599440859,28.120004340301651524,25.385434287682993926,64962560,2277376,2306048,4718592,21499904,155648,163840,8192,2555904,19812352,53248,4096,4132864,36864,26185728, ,2338816,13746176,32768,1880064,55.984026,runtime
220,17:54:21,23.9747285898716,0,0,0,0,0,0,0,0,0,0, , , , ,0,515.9041965906931182,0,0,0,0,0,0, , , , ,0,515.9041965906931182,0,0,260047.70914041259675,260047.70914041259675,29.68699374635497179,35.937038746678972245,10.936858745382970426,18.749414995787972771,23.82758155858721949,64962560,2277376,2306048,4718592,21499904,155648,163840,8192,2555904,19812352,53248,4096,4132864,36864,26185728, ,2338816,13746176,32768,1880064,55.47696,runtime
221,17:54:22,23.964900529003913,0,0,0,0,0,0,0,0,0,0, , , , ,0,1732.2139284201600731,0,0,0,0,0,0, , , , ,0,1732.2139284201600731,0,0,12801.580995252914363,12801.580995252914363,0,0,1.5557368791235925976,1.5557368791235925976,0.77443320356108680258,64962560,2277376,2306048,4718592,21499904,155648,163840,8192,2555904,19812352,53248,4096,4132864,36864,26185728, ,2338816,13746176,32768,1880064,47.29774,runtime
222,17:54:23,23.964900529003913,0,0,0,0,0,0,0,0,0,0, , , , ,0,195.99919640329474646,0,0,0,0,0,0, , , , ,0,195.99919640329474646,0,0,12287.949619406561396,12287.949619406561396,1.5557565693249952865,0,1.5557565693249952865,0,0.77445305003392972409,64962560,2277376,2306048,4718592,21499904,155648,163840,8192,2555904,19812352,53248,4096,4132864,36864,26185728, ,2338816,13746176,32768,1880064,31.73849,runtime
223,17:54:24,23.96465067844015,0,0,0,220.99533699838931966,0,0,0,0,0,0, , , , ,0,2051.956703713551633,0,0,0,0,0,0, , , , ,220.99533699838931966,2051.956703713551633,0,0,94718.001450169394957,94718.001450169394957,0.0048497647864076398605,0.0048497647864076398605,1.5672739872116148163,1.5672739872116148163,0.78606187599901122809,64962560,2277376,2306048,4718592,21499904,155648,163840,8192,2555904,19812352,53248,4096,4132864,36864,26185728, ,2338816,13746176,32768,1880064,31.653286,runtime
224,17:54:25,23.96465067844015,0,0,0,220.98643143310999903,0,0,0,0,0,0, , , , ,0,131.99189569760414997,0,0,0,0,0,0, , , , ,220.98643143310999903,131.99189569760414997,0,0,12287.245563122423846,12287.245563122423846,0.0065495710031004961138,0.0065495710031004961138,1.5689472339561749692,1.5689472339561749692,0.78774840247963773265,64962560,2277376,2306048,4718592,21499904,155648,163840,8192,2555904,19812352,53248,4096,4132864,36864,26185728, ,2338816,13746176,32768,1880064,32.04432,runtime
225,17:54:26,23.96465067844015,0,0,0,220.99502761187872579,0,0,0,0,0,0, , , , ,0,195.99559009922276687,0,0,0,0,0,0, , , , ,220.99502761187872579,195.99559009922276687,0,0,8191.8156841471063672,8191.8156841471063672,0.0042598185317266334948,0.0042598185317266334948,1.5666932588671689253,1.5666932588671689253,0.78547653869944777938,64962560,2277376,2306048,4718592,21499904,155648,163840,8192,2555904,19812352,53248,4096,4132864,36864,26185728, ,2338816,13746176,32768,1880064,31.695888,runtime
226,17:54:27,23.96465067844015,0,0,0,221.008884557159206,0,0,0,0,0,0, , , , ,0,132.00530661332587101,0,0,0,0,0,0, , , , ,221.008884557159206,132.00530661332587101,0,0,12288.493997458697777,12288.493997458697777,0,0,1.5559534709058131519,0,0.38399553570311883988,64962560,2277376,2306048,4718592,21499904,155648,163840,8192,2555904,19812352,53248,4096,4132864,36864,26185728, ,2338816,13746176,32768,1880064,31.87296,runtime
227,17:54:28,23.96465067844015,0,0,0,0,0,0,0,0,0,0, , , , ,0,132.01019118675961295,0,0,0,0,0,0, , , , ,0,132.01019118675961295,0,0,8192.6324712267778523,8192.6324712267778523,1.5558944005142794076,0,1.5558944005142794076,4.6811041020852535155,1.9465506135461718706,64962560,2277376,2306048,4718592,21499904,155648,163840,8192,2555904,19812352,53248,4096,4132864,36864,26185728, ,2338816,13746176,32768,1880064,31.74444,runtime
