Zeit,"RAM","\\DJ-TESLA\Auslagerungsdatei(\??\C:\pagefile.sys)\Belegung (%)","Auslagerungsdatei","\\DJ-TESLA\Netzwerkadapter(Microsoft Kernel Debug Network Adapter)\Bytes gesendet/s","NetzwerkGesendet","\\DJ-TESLA\Netzwerkadapter(WAN Miniport [IP])\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(WAN Miniport [IPv6])\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(WAN Miniport [Network Monitor])\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(Teredo Tunneling Pseudo-Interface)\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(Microsoft IP-HTTPS Platform Interface)\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(6to4 Adapter)\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(LAN-Verbindung* 1)\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(LAN-Verbindung* 2)\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(LAN-Verbindung* 3)\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(LAN-Verbindung* 4)\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(Microsoft Kernel Debug Network Adapter)\Empfangene Bytes/s","NetzwerkEmpfangen","\\DJ-TESLA\Netzwerkadapter(WAN Miniport [IP])\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(WAN Miniport [IPv6])\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(WAN Miniport [Network Monitor])\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(Teredo Tunneling Pseudo-Interface)\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(Microsoft IP-HTTPS Platform Interface)\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(6to4 Adapter)\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(LAN-Verbindung* 1)\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(LAN-Verbindung* 2)\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(LAN-Verbindung* 3)\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(LAN-Verbindung* 4)\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkschnittstelle(Intel[R] Ethernet Connection I217-LM)\Bytes gesendet/s","\\DJ-TESLA\Netzwerkschnittstelle(Intel[R] Ethernet Connection I217-LM)\Empfangene Bytes/s","FestplatteGeschrieben","FestplatteGelesen","\\DJ-TESLA\Physikalischer Datentr�ger(0 C:)\Bytes geschrieben/s","\\DJ-TESLA\Physikalischer Datentr�ger(_Total)\Bytes geschrieben/s","\\DJ-TESLA\Prozessor(0)\Prozessorzeit (%)","\\DJ-TESLA\Prozessor(1)\Prozessorzeit (%)","\\DJ-TESLA\Prozessor(2)\Prozessorzeit (%)","\\DJ-TESLA\Prozessor(3)\Prozessorzeit (%)","CPU","\\DJ-TESLA\GPU Process Memory(pid_1064_luid_0x00000000_0x00008CD0_phys_0)\Total Committed","\\DJ-TESLA\GPU Process Memory(pid_1064_luid_0x00000000_0x00008FE9_phys_0)\Total Committed","\\DJ-TESLA\GPU Process Memory(pid_2916_luid_0x00000000_0x00008CD0_phys_0)\Total Committed","\\DJ-TESLA\GPU Process Memory(pid_4872_luid_0x00000000_0x00008CD0_phys_0)\Total Committed","\\DJ-TESLA\GPU Process Memory(pid_4872_luid_0x00000000_0x00008FE9_phys_0)\Total Committed","\\DJ-TESLA\GPU Process Memory(pid_4_luid_0x00000000_0x00008CD0_phys_0)\Total Committed","\\DJ-TESLA\GPU Process Memory(pid_4_luid_0x00000000_0x00008FE9_phys_0)\Total Committed","\\DJ-TESLA\GPU Process Memory(pid_4_luid_0x00000000_0x00009030_phys_0)\Total Committed","\\DJ-TESLA\GPU Process Memory(pid_5128_luid_0x00000000_0x00008CD0_phys_0)\Total Committed","\\DJ-TESLA\GPU Process Memory(pid_5148_luid_0x00000000_0x00008CD0_phys_0)\Total Committed","\\DJ-TESLA\GPU Process Memory(pid_5796_luid_0x00000000_0x00008CD0_phys_0)\Total Committed","\\DJ-TESLA\GPU Process Memory(pid_7328_luid_0x00000000_0x00008FE9_phys_0)\Total Committed","\\DJ-TESLA\GPU Process Memory(pid_8176_luid_0x00000000_0x00008CD0_phys_0)\Total Committed","\\DJ-TESLA\GPU Process Memory(pid_824_luid_0x00000000_0x00008CD0_phys_0)\Total Committed",,,,
03/01/2023 15:02:47.902,"24.531803914469620054","0","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","68136960","2273280","23588864","2654208","6426624","163840","8192","2555904","6598656","32768","2306048","1363968","31051776","13713408",32768,1880064,4132864,36864
03/01/2023 15:02:48.903,"24.538883456154465534","0","0","0","0","0","0","0","0","0","0"," "," "," "," ","0","132.61480222310632371","0","0","0","0","0","0"," "," "," "," ","0","132.61480222310632371","255134.80495577497641","255134.80495577497641","8230.1549985733854555","8230.1549985733854555","1.5676972255864840555","12.504619756076884585","3.1301147299422571457","3.1301147299422571457","5.0831416101229880411","68136960","2273280","23588864","2654208","6426624","163840","8192","2555904","6598656","32768","2306048","1363968","31051776","13713408",32768,1880064,4132864,36864
03/01/2023 15:02:49.918,"24.535843409722634334","0","0","0","0","0","0","0","0","0","0"," "," "," "," ","0","129.97705018857010373","0","0","0","0","0","0"," "," "," "," ","0","129.97705018857010373","0","0","80664.545086724712746","80664.545086724712746","0","0","0","0","0","68128768","2273280","23588864","2654208","6426624","163840","8192","2555904","6598656","32768","2306048","1363968","31051776","13713408",32768,1880064,4132864,36864
03/01/2023 15:02:50.902,"24.533219827463202733","0","0","0","0","0","0","0","0","0","0"," "," "," "," ","0","362.72849863321465591","0","0","0","0","0","0"," "," "," "," ","0","362.72849863321465591","0","0","12485.175885728127469","12485.175885728127469","0","0","0","0","0","68128768","2273280","23588864","2654208","6426624","163840","8192","2555904","6598656","32768","2306048","1363968","31051776","13713408",32768,1880064,4132864,36864
03/01/2023 15:02:51.918,"24.636455956994662841","0","0","0","0","0","0","0","0","0","0"," "," "," "," ","0","130.011858657410869","0","0","0","0","0","0"," "," "," "," ","0","130.011858657410869","4034.3073716723856705","4034.3073716723856705","8068.6147433447713411","8068.6147433447713411","1.5291731641000616548","4.6063865027219268455","4.6063865027219268455","0","2.6831232425419182519","68128768","2273280","23588864","2654208","6426624","163840","8192","2555904","6598656","32768","2306048","1363968","31051776","13713408",32768,1880064,4132864,36864
03/01/2023 15:02:52.902,"24.658485787142648604","0","0","0","0","0","0","0","0","0","0"," "," "," "," ","0","134.07762667974125748","0","0","0","0","0","0"," "," "," "," ","0","134.07762667974125748","1117606.0886681755073","1117606.0886681755073","12481.408156368641357","12481.408156368641357","3.1746720281697338173","7.1111060540030024413e-005","7.1111060540030024413e-005","1.5873715696151369237","1.1905515343379580173","68128768","2273280","23588864","2654208","6426624","163840","8192","2555904","6598656","32768","2306048","1363968","31051776","13713408",32768,1880064,4132864,36864
03/01/2023 15:02:53.902,"24.658485787142648604","0","0","0","0","0","0","0","0","0","0"," "," "," "," ","0","131.98288182022790238","0","0","0","0","0","0"," "," "," "," ","0","131.98288182022790238","0","0","8190.9376353886900688","8190.9376353886900688","0.0041798252833014082341","0.0041798252833014082341","0.0041798252833014082341","0.0041798252833014082341","0.0041798252833014082341","68128768","2273280","23588864","2654208","6426624","163840","8192","2555904","6598656","32768","2306048","1363968","31051776","13713408",32768,1880064,4132864,36864
03/01/2023 15:02:54.918,"24.652822158451385803","0","0","0","0","0","0","0","0","0","0"," "," "," "," ","0","129.9748616801614105","0","0","0","0","0","0"," "," "," "," ","0","129.9748616801614105","0","0","48397.912131085555302","48397.912131085555302","0","0","0","0","0","68128768","2273280","23588864","2654208","6426624","163840","8192","2555904","6598656","32768","2306048","1363968","31051776","13713408",32768,1880064,4132864,36864
03/01/2023 15:02:55.902,"24.642994120866756447","0","0","0","0","0","0","0","0","0","0"," "," "," "," ","0","134.07751772946630808","0","0","0","0","0","0"," "," "," "," ","0","134.07751772946630808","0","0","12481.398014088499622","12481.398014088499622","3.1680124513871699143","6.3428317152761088948","4.7554220833316396266","4.7554220833316396266","4.7554220833316396266","68128768","2273280","23588864","2654208","6426624","163840","8192","2555904","6598656","32768","2306048","1363968","31051776","13713408",32768,1880064,4132864,36864
03/01/2023 15:02:56.918,"24.64203630216467289","0","0","0","0","0","0","0","0","0","0"," "," "," "," ","0","130.01125680798529061","0","0","0","0","0","0"," "," "," "," ","0","130.01125680798529061","0","0","8068.5773922046637381","8068.5773922046637381","4.6088287470735238571","3.0702614688005169796","1.5316941905275105462","4.6088287470735238571","3.4548983649534736884","68128768","2273280","23588864","2654208","6426624","163840","8192","2555904","6598656","32768","2306048","1363968","31051776","13713408",32768,1880064,4132864,36864
