Zeit;Wert 1-avg[W]
2023-03-14 17:08:52.554249; 31.786283
2023-03-14 17:08:53.558314; 31.786283
2023-03-14 17:08:54.572188; 31.700721
2023-03-14 17:08:55.586076; 31.829064
2023-03-14 17:08:56.594541; 31.48108
2023-03-14 17:08:57.605379; 31.523622
2023-03-14 17:08:58.606613; 31.700721
2023-03-14 17:08:59.622540; 31.743502
2023-03-14 17:09:00.637481; 32.09292
2023-03-14 17:09:01.649392; 32.846487
2023-03-14 17:09:02.650425; 31.786283
2023-03-14 17:09:03.651477; 31.566164
2023-03-14 17:09:04.652460; 31.523622
2023-03-14 17:09:05.671654; 32.13594
2023-03-14 17:09:06.686866; 32.44425
2023-03-14 17:09:07.690417; 32.977698
2023-03-14 17:09:08.700524; 52.146454
2023-03-14 17:09:09.707957; 33.42654
2023-03-14 17:09:10.734228; 33.108909
2023-03-14 17:09:11.750695; 34.193252
2023-03-14 17:09:12.770591; 32.400991
2023-03-14 17:09:13.789345; 32.666998
2023-03-14 17:09:14.810585; 32.6235
2023-03-14 17:09:15.836713; 32.797492
2023-03-14 17:09:16.863341; 32.666998
2023-03-14 17:09:17.881319; 32.17896
2023-03-14 17:09:18.896688; 40.191913
2023-03-14 17:09:19.919085; 32.09292
2023-03-14 17:09:20.934215; 36.210412
2023-03-14 17:09:21.948290; 32.400991
2023-03-14 17:09:22.958571; 33.740586
2023-03-14 17:09:23.962672; 31.786283
2023-03-14 17:09:24.976592; 31.829064
2023-03-14 17:09:25.993105; 32.0499
2023-03-14 17:09:27.003986; 31.786283
2023-03-14 17:09:28.011164; 31.608706
2023-03-14 17:09:29.027679; 31.48108
2023-03-14 17:09:30.037326; 31.523622
2023-03-14 17:09:31.060787; 31.700721
2023-03-14 17:09:32.065008; 31.743502
2023-03-14 17:09:33.085987; 31.786283
2023-03-14 17:09:34.092730; 32.0499
2023-03-14 17:09:35.093303; 31.786283
2023-03-14 17:09:36.113433; 32.00688
2023-03-14 17:09:37.119963; 31.48108
2023-03-14 17:09:38.139022; 31.65794
2023-03-14 17:09:39.154335; 31.786283
2023-03-14 17:09:40.170488; 31.786283
2023-03-14 17:09:41.190890; 32.00688
2023-03-14 17:09:42.197616; 31.829064
2023-03-14 17:09:43.210028; 31.700721
2023-03-14 17:09:44.245839; 31.48108
2023-03-14 17:09:45.264718; 31.48108
2023-03-14 17:09:46.272582; 31.700721
2023-03-14 17:09:47.290121; 31.829064
2023-03-14 17:09:48.305401; 31.829064
2023-03-14 17:09:49.324556; 31.829064
2023-03-14 17:09:50.337031; 31.743502
2023-03-14 17:09:51.338417; 31.786283
2023-03-14 17:09:52.362961; 31.57008
2023-03-14 17:09:53.385831; 31.523622
2023-03-14 17:09:54.411447; 31.7904
2023-03-14 17:09:55.432881; 33.79248
2023-03-14 17:09:56.443141; 32.0052
2023-03-14 17:09:57.461705; 31.96224
2023-03-14 17:09:58.471861; 31.743502
2023-03-14 17:09:59.476068; 31.69824
2023-03-14 17:10:00.488629; 31.566164
2023-03-14 17:10:01.512976; 31.566164
2023-03-14 17:10:02.521774; 31.651248
2023-03-14 17:10:03.538027; 31.786283
2023-03-14 17:10:04.545266; 31.96224
2023-03-14 17:10:05.564101; 31.91928
2023-03-14 17:10:06.583831; 32.09112
2023-03-14 17:10:07.586147; 31.65552
2023-03-14 17:10:08.601624; 31.48108
2023-03-14 17:10:09.612256; 31.48108
2023-03-14 17:10:10.618311; 31.608706
2023-03-14 17:10:11.623079; 31.91928
2023-03-14 17:10:12.644395; 31.87632
2023-03-14 17:10:13.654521; 31.96224
2023-03-14 17:10:14.666640; 31.7904
2023-03-14 17:10:15.686240; 31.69824
2023-03-14 17:10:16.688860; 31.57008
2023-03-14 17:10:17.700285; 31.65552
2023-03-14 17:10:18.720267; 31.69824
2023-03-14 17:10:19.736350; 31.96224
2023-03-14 17:10:20.737862; 31.96224
2023-03-14 17:10:21.749367; 32.00688
2023-03-14 17:10:22.768754; 32.1408
2023-03-14 17:10:23.780284; 31.48108
2023-03-14 17:10:24.786681; 32.00688
2023-03-14 17:10:25.788279; 31.523622
2023-03-14 17:10:26.791455; 31.743502
2023-03-14 17:10:27.795057; 31.786283
2023-03-14 17:10:28.795576; 31.91928
2023-03-14 17:10:29.809152; 31.87632
2023-03-14 17:10:30.814256; 31.743502
2023-03-14 17:10:31.835877; 32.0052
2023-03-14 17:10:32.846996; 31.6128
2023-03-14 17:10:33.850137; 31.523622
2023-03-14 17:10:34.870551; 48.12504
2023-03-14 17:10:35.872204; 53.59992
2023-03-14 17:10:36.882758; 48.96
2023-03-14 17:10:37.895905; 51.0948
2023-03-14 17:10:38.904218; 51.72
2023-03-14 17:10:39.925696; 51.30624
2023-03-14 17:10:40.939224; 52.60848
2023-03-14 17:10:41.959278; 50.65632
2023-03-14 17:10:42.966809; 51.45336
2023-03-14 17:10:43.981134; 51.84
2023-03-14 17:10:44.981877; 52.3152
2023-03-14 17:10:45.998280; 51.24672
2023-03-14 17:10:46.999808; 51.84
2023-03-14 17:10:48.023641; 51.24672
2023-03-14 17:10:49.030800; 57.024
2023-03-14 17:10:50.031249; 52.37568
2023-03-14 17:10:51.040500; 53.39136
2023-03-14 17:10:52.049602; 52.85232
2023-03-14 17:10:53.062325; 52.37568
2023-03-14 17:10:54.076599; 53.99424
2023-03-14 17:10:55.084403; 35.43552
2023-03-14 17:10:56.105266; 51.7104
2023-03-14 17:10:57.117076; 32.3136
2023-03-14 17:10:58.118100; 35.34336
2023-03-14 17:10:59.122396; 32.184
2023-03-14 17:11:00.144081; 32.04816
2023-03-14 17:11:01.157246; 32.2272
2023-03-14 17:11:02.186648; 32.2704
2023-03-14 17:11:03.209946; 32.0052
2023-03-14 17:11:04.210566; 31.87632
2023-03-14 17:11:05.235919; 31.78368
2023-03-14 17:11:06.250869; 31.91928
2023-03-14 17:11:07.256870; 31.829064
2023-03-14 17:11:08.265664; 32.00688
2023-03-14 17:11:09.267741; 32.13594
2023-03-14 17:11:10.286432; 31.914626
2023-03-14 17:11:11.292336; 31.829064
2023-03-14 17:11:12.313525; 31.566164
2023-03-14 17:11:13.334332; 31.829064
2023-03-14 17:11:14.350111; 31.829064
2023-03-14 17:11:15.367708; 31.829064
2023-03-14 17:11:16.369638; 32.00688
2023-03-14 17:11:17.387089; 32.0499
2023-03-14 17:11:18.406489; 32.314473
2023-03-14 17:11:19.421076; 31.871845
2023-03-14 17:11:20.429336; 31.523622
2023-03-14 17:11:21.430905; 31.700721
2023-03-14 17:11:22.434191; 31.743502
2023-03-14 17:11:23.435962; 32.00688
2023-03-14 17:11:24.446413; 32.13594
2023-03-14 17:11:25.457548; 31.786283
2023-03-14 17:11:26.477548; 31.871845
2023-03-14 17:11:27.496633; 32.13594
2023-03-14 17:11:28.504018; 31.743502
2023-03-14 17:11:29.519248; 31.786283
2023-03-14 17:11:30.527650; 31.871845
2023-03-14 17:11:31.530630; 32.0499
2023-03-14 17:11:32.531170; 32.400991
2023-03-14 17:11:33.531790; 32.13594
2023-03-14 17:11:34.563043; 31.871845
2023-03-14 17:11:35.579148; 31.871845
2023-03-14 17:11:36.604060; 32.09292
2023-03-14 17:11:37.621624; 31.608706
2023-03-14 17:11:38.638530; 32.13594
2023-03-14 17:11:39.659211; 31.871845
2023-03-14 17:11:40.664728; 32.13594
2023-03-14 17:11:41.684565; 32.17896
2023-03-14 17:11:42.698628; 32.400991
2023-03-14 17:11:43.709699; 31.914626
2023-03-14 17:11:44.727627; 31.871845
2023-03-14 17:11:45.735608; 31.608706
2023-03-14 17:11:46.746533; 31.829064
2023-03-14 17:11:47.749414; 31.914626
2023-03-14 17:11:48.769433; 31.957407
2023-03-14 17:11:49.785266; 31.957407
2023-03-14 17:11:50.800625; 32.09292
2023-03-14 17:11:51.809199; 32.17896
2023-03-14 17:11:52.815850; 32.487509
2023-03-14 17:11:53.828647; 32.265
2023-03-14 17:11:54.829933; 31.871845
2023-03-14 17:11:55.834312; 32.09292
2023-03-14 17:11:56.852607; 32.44425
2023-03-14 17:11:57.857010; 32.13594
2023-03-14 17:11:58.875847; 32.400991
2023-03-14 17:11:59.896903; 32.13594
2023-03-14 17:12:00.918477; 32.314473
2023-03-14 17:12:01.927790; 32.13594
2023-03-14 17:12:02.931238; 32.13594
2023-03-14 17:12:03.935247; 32.400991
2023-03-14 17:12:04.937215; 32.487509
2023-03-14 17:12:05.941256; 32.400991
2023-03-14 17:12:06.950130; 32.487509
2023-03-14 17:12:07.969596; 32.797492
2023-03-14 17:12:08.991514; 32.13594
2023-03-14 17:12:09.994044; 32.13594
2023-03-14 17:12:10.999444; 32.17896
2023-03-14 17:12:12.009206; 32.265
2023-03-14 17:12:13.024376; 32.44425
2023-03-14 17:12:14.044722; 32.44425
2023-03-14 17:12:15.048261; 32.710496
2023-03-14 17:12:16.066673; 32.357732
