"Zeit","RAM","\\DJ-TESLA\Auslagerungsdatei(\??\C:\pagefile.sys)\Belegung (%)","Auslagerungsdatei","\\DJ-TESLA\Netzwerkadapter(Microsoft Kernel Debug Network Adapter)\Bytes gesendet/s","NetzwerkGesendet","\\DJ-TESLA\Netzwerkadapter(WAN Miniport [IP])\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(WAN Miniport [IPv6])\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(WAN Miniport [Network Monitor])\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(Teredo Tunneling Pseudo-Interface)\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(Microsoft IP-HTTPS Platform Interface)\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(6to4 Adapter)\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(LAN-Verbindung* 1)\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(LAN-Verbindung* 2)\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(LAN-Verbindung* 3)\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(LAN-Verbindung* 4)\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(Microsoft Kernel Debug Network Adapter)\Empfangene Bytes/s","NetzwerkEmpfangen","\\DJ-TESLA\Netzwerkadapter(WAN Miniport [IP])\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(WAN Miniport [IPv6])\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(WAN Miniport [Network Monitor])\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(Teredo Tunneling Pseudo-Interface)\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(Microsoft IP-HTTPS Platform Interface)\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(6to4 Adapter)\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(LAN-Verbindung* 1)\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(LAN-Verbindung* 2)\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(LAN-Verbindung* 3)\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(LAN-Verbindung* 4)\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkschnittstelle(Intel[R] Ethernet Connection I217-LM)\Bytes gesendet/s","\\DJ-TESLA\Netzwerkschnittstelle(Intel[R] Ethernet Connection I217-LM)\Empfangene Bytes/s","FestplatteGeschrieben","FestplatteGelesen","\\DJ-TESLA\Physikalischer Datentr�ger(0 C:)\Bytes geschrieben/s","\\DJ-TESLA\Physikalischer Datentr�ger(_Total)\Bytes geschrieben/s","\\DJ-TESLA\Prozessor(0)\Prozessorzeit (%)","\\DJ-TESLA\Prozessor(1)\Prozessorzeit (%)","\\DJ-TESLA\Prozessor(2)\Prozessorzeit (%)","\\DJ-TESLA\Prozessor(3)\Prozessorzeit (%)","CPU","\\DJ-TESLA\GPU Process Memory(pid_1064_luid_0x00000000_0x00008CD0_phys_0)\Total Committed","\\DJ-TESLA\GPU Process Memory(pid_1064_luid_0x00000000_0x00008FE9_phys_0)\Total Committed","\\DJ-TESLA\GPU Process Memory(pid_2916_luid_0x00000000_0x00008CD0_phys_0)\Total Committed","\\DJ-TESLA\GPU Process Memory(pid_4872_luid_0x00000000_0x00008CD0_phys_0)\Total Committed","\\DJ-TESLA\GPU Process Memory(pid_4872_luid_0x00000000_0x00008FE9_phys_0)\Total Committed","\\DJ-TESLA\GPU Process Memory(pid_4_luid_0x00000000_0x00008CD0_phys_0)\Total Committed","\\DJ-TESLA\GPU Process Memory(pid_4_luid_0x00000000_0x00008FE9_phys_0)\Total Committed","\\DJ-TESLA\GPU Process Memory(pid_4_luid_0x00000000_0x00009030_phys_0)\Total Committed","\\DJ-TESLA\GPU Process Memory(pid_5128_luid_0x00000000_0x00008CD0_phys_0)\Total Committed","\\DJ-TESLA\GPU Process Memory(pid_5148_luid_0x00000000_0x00008CD0_phys_0)\Total Committed","\\DJ-TESLA\GPU Process Memory(pid_5796_luid_0x00000000_0x00008CD0_phys_0)\Total Committed","\\DJ-TESLA\GPU Process Memory(pid_7328_luid_0x00000000_0x00008FE9_phys_0)\Total Committed","\\DJ-TESLA\GPU Process Memory(pid_8176_luid_0x00000000_0x00008CD0_phys_0)\Total Committed","\\DJ-TESLA\GPU Process Memory(pid_824_luid_0x00000000_0x00008CD0_phys_0)\Total Committed"
"01/09/2023 20:09:06.042","47.375313646014625135","0","5.75537109375"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"01/09/2023 20:09:07.059","47.366615232864070606","0","5.75537109375","0","0","0","0","0","0","0","0"," "," "," "," ","0","129.95823910130334866","0","0","0","0","0","0"," "," "," "," ","0","129.95823910130334866","0","0","298415.62200425338233","298415.62200425338233","6.2046953302165475108","3.1294394394039803942","9.2799512210291261738","0.054183548591402175276","4.6670673848102639525"
"01/09/2023 20:09:08.056","47.160994365615998447","0","5.75537109375","0","0","0","0","0","0","0","0"," "," "," "," ","0","132.37317321260363201","0","0","0","0","0","0"," "," "," "," ","0","132.37317321260363201","0","0","284963.34015222312883","284963.34015222312883","10.682211898047000886","18.517105591200767378","9.1152331594162472328","4.4142969435239765019","10.682211898047000886"
"01/09/2023 20:09:09.061","47.15741028710208127","0","5.75537109375","0","0","0","0","0","0","0","0"," "," "," "," ","0","194.94278628143848664","0","0","0","0","0","0"," "," "," "," ","0","194.94278628143848664","0","0","283645.73246370285051","283645.73246370285051","6.7559886277117175979","3.6478549153021178064","3.6478549153021178064","6.7559886277117175979","5.2019217715069228092"
"01/09/2023 20:09:10.055","47.224702208122401714","0","5.75537109375","0","0","0","0","0","0","0","0"," "," "," "," ","0","132.85045547577371394","0","0","0","0","0","0"," "," "," "," ","0","132.85045547577371394","32979.11912901631149","32979.11912901631149","12367.169673381116809","12367.169673381116809","5.6463061963051952574","22.944483393649250047","11.936552449884851868","4.0737446329102811049","11.150271668187395235"
"01/09/2023 20:09:11.046","47.224460576480360885","0","5.75537109375","0","0","0","0","0","0","0","0"," "," "," "," ","0","133.19834555545878629","0","0","0","0","0","0"," "," "," "," ","0","133.19834555545878629","0","0","273306.85982579470146","273306.85982579470146","5.4039614096595744996","0.67415948014255544507","5.4039614096595744996","2.2507601233148877284","3.4332156508162015029"
"01/09/2023 20:09:12.060","47.224380040360699695","0","5.75537109375","0","0","0","0","0","0","0","0"," "," "," "," ","0","130.11879451639970284","0","0","0","0","0","0"," "," "," "," ","0","130.11879451639970284","0","0","80752.512475632291171","80752.512475632291171","2.9665736788668017887","1.4263605626583353292","0","2.9665736788668017887","1.8114089130284782847"
"01/09/2023 20:09:13.055","47.211251861232156557","0","5.75537109375","0","0","0","0","0","0","0","0"," "," "," "," ","0","132.69696426541122491","0","0","0","0","0","0"," "," "," "," ","0","132.69696426541122491","0","0","8235.2540247140059364","8235.2540247140059364","2.6117346249941109093","15.177962415317447054","5.7532915725749367297","8.8948485201557740965","8.1094592832605663091"
"01/09/2023 20:09:14.055","47.129704232125007479","0","5.75537109375","0","0","0","0","0","0","0","0"," "," "," "," ","0","357.03059752220764267","0","0","0","0","0","0"," "," "," "," ","0","357.03059752220764267","0","0","73734.319031140970765","73734.319031140970765","0","3.1071232642422508263","1.5443349297945441201","1.5443349297945441201","1.5443349297945441201"
"01/09/2023 20:09:15.054","47.129784768244661564","0","5.75537109375","0","0","0","0","0","0","0","0"," "," "," "," ","0","132.10099120777834969","0","0","0","0","0","0"," "," "," "," ","0","132.10099120777834969","0","0","69685.274392272884143","69685.274392272884143","1.4970152157154026362","7.7511729797969719513","1.4970152157154026362","0","2.6696747998069092489"
"01/09/2023 20:09:16.055","47.060519607518919827","0","5.75537109375","0","0","0","0","0","0","0","0"," "," "," "," ","0","131.91777565043707909","0","0","0","0","0","0"," "," "," "," ","0","131.91777565043707909","0","0","57308.279749232300674","57308.279749232300674","4.7465761734572176067","6.3081077115972661318","3.1850446353171801839","3.1850446353171801839","4.3561882920212902093"
"01/09/2023 20:09:17.046","47.059190680053831102","0","5.75537109375","0","223.0041156872699446","0","0","0","0","0","0"," "," "," "," ","0","133.19702837429696274","0","0","0","0","0","0"," "," "," "," ","223.0041156872699446","133.19702837429696274","0","0","12399.432459570918581","12399.432459570918581","0","0.66614105705655735079","0.66614105705655735079","0.66614105705655735079","0.2719641226535896017"
"01/09/2023 20:09:18.067","47.058063127812474136","0","5.75537109375","0","216.51196674376188867","0","0","0","0","0","0"," "," "," "," ","0","129.31936475193018055","0","0","0","0","0","0"," "," "," "," ","216.51196674376188867","129.31936475193018055","0","0","78249.971980804300983","78249.971980804300983","3.5632349889776704366","5.0939772907399376578","0.50175038545315908678","3.5632349889776704366","3.1805445151617428579"
"01/09/2023 20:09:19.055","47.027417306561822841","0","5.75537109375","0","223.63853212977349472","0","0","0","0","0","0"," "," "," "," ","0","133.57595584221763829","0","0","0","0","0","0"," "," "," "," ","223.63853212977349472","133.57595584221763829","0","0","58028.633422849459748","58028.633422849459748","6.7139164369193764514","9.8761565577017762507","5.1327963765281818809","9.8761565577017762507","7.8997615417969679896"
