"(PDH-CSV 4.0) (Mitteleurop�ische Zeit)(-60)","RAM","\\DJ-TESLA\Auslagerungsdatei(\??\C:\pagefile.sys)\Belegung (%)","\\DJ-TESLA\Auslagerungsdatei(_Total)\Belegung (%)","\\DJ-TESLA\Netzwerkadapter(Microsoft Kernel Debug Network Adapter)\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(Intel[R] Ethernet Connection I217-LM)\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(WAN Miniport [IP])\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(WAN Miniport [IPv6])\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(WAN Miniport [Network Monitor])\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(Teredo Tunneling Pseudo-Interface)\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(Microsoft IP-HTTPS Platform Interface)\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(6to4 Adapter)\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(LAN-Verbindung* 1)\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(LAN-Verbindung* 2)\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(LAN-Verbindung* 3)\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(LAN-Verbindung* 4)\Bytes gesendet/s","\\DJ-TESLA\Netzwerkadapter(Microsoft Kernel Debug Network Adapter)\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(Intel[R] Ethernet Connection I217-LM)\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(WAN Miniport [IP])\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(WAN Miniport [IPv6])\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(WAN Miniport [Network Monitor])\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(Teredo Tunneling Pseudo-Interface)\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(Microsoft IP-HTTPS Platform Interface)\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(6to4 Adapter)\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(LAN-Verbindung* 1)\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(LAN-Verbindung* 2)\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(LAN-Verbindung* 3)\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkadapter(LAN-Verbindung* 4)\Empfangene Bytes/s","\\DJ-TESLA\Netzwerkschnittstelle(Intel[R] Ethernet Connection I217-LM)\Bytes gesendet/s","\\DJ-TESLA\Netzwerkschnittstelle(Intel[R] Ethernet Connection I217-LM)\Empfangene Bytes/s","\\DJ-TESLA\Physikalischer Datentr�ger(0 C:)\Bytes gelesen/s","\\DJ-TESLA\Physikalischer Datentr�ger(_Total)\Bytes gelesen/s","\\DJ-TESLA\Physikalischer Datentr�ger(0 C:)\Bytes geschrieben/s","\\DJ-TESLA\Physikalischer Datentr�ger(_Total)\Bytes geschrieben/s","\\DJ-TESLA\Prozessor(0)\Prozessorzeit (%)","\\DJ-TESLA\Prozessor(1)\Prozessorzeit (%)","\\DJ-TESLA\Prozessor(2)\Prozessorzeit (%)","\\DJ-TESLA\Prozessor(3)\Prozessorzeit (%)","\\DJ-TESLA\Prozessor(_Total)\Prozessorzeit (%)"
"03/14/2023 14:49:18.130","18.536570532838013037","0","0","0","0","0","0","0","0","0","0"," "," "," "," ","0","131.6964265671201133","0","0","0","0","0","0"," "," "," "," ","0","131.6964265671201133","0","0","20432.900121928942099","20432.900121928942099","0.23008936789975509285","1.7889942215263188174","0.23008936789975509285","0.23008936789975509285","0.61981059281085437718"
"03/14/2023 14:49:19.132","18.54664844426946857","0","0","0","0","0","0","0","0","0","0"," "," "," "," ","0","131.76414218548796953","0","0","0","0","0","0"," "," "," "," ","0","131.76414218548796953","1484702.3827349045314","1484702.3827349045314","89950.987731959801749","89950.987731959801749","3.3000559087883241105","7.9790854615888857637","1.7403793911881293432","14.217791531989643516","6.8093330643535949775"
"03/14/2023 14:49:20.116","18.538527800361283226","0","0","0","0","0","0","0","0","0","0"," "," "," "," ","0","134.10696798470448243","0","0","0","0","0","0"," "," "," "," ","0","134.10696798470448243","16645.519420162108872","16645.519420162108872","8322.7597100810544362","8322.7597100810544362","1.5805828217555495385","1.5805828217555495385","3.167992776243366837","3.167992776243366837","2.3742877989994637389"
"03/14/2023 14:49:21.132","18.523244354530060463","0","0","0","0","0","0","0","0","0","0"," "," "," "," ","0","129.97798448653674086","0","0","0","0","0","0"," "," "," "," ","0","129.97798448653674086","0","0","12099.768737655784207","12099.768737655784207","0","0","0","3.0703473692886062985","0.76249849712881623276"
"03/14/2023 14:49:22.116","18.522911197161977981","0","0","0","0","0","0","0","0","0","0"," "," "," "," ","0","855.42225959078712094","0","0","0","0","0","0"," "," "," "," ","0","855.42225959078712094","0","0","8322.5880648072779877","8322.5880648072779877","0","0","0","3.1681698522497359072","0.78705927484604698563"
"03/14/2023 14:49:23.132","18.521078866562127985","0","0","0","0","0","0","0","0","0","0"," "," "," "," ","0","351.53223250243394205","0","0","0","0","0","0"," "," "," "," ","0","351.53223250243394205","32266.129396750013257","32266.129396750013257","241995.97047562510124","241995.97047562510124","0","1.5317329745412222586","1.5317329745412222586","1.5317329745412222586","1.1470863830596811361"
"03/14/2023 14:49:24.116","18.531739785925424258","0","0","0","0","0","0","0","0","0","0"," "," "," "," ","0","1954.3701300732868731","0","0","0","0","0","0"," "," "," "," ","0","1954.3701300732868731","0","0","112337.68265336015611","112337.68265336015611","1.5958286992375447788","0.0086646459994343949518","0","0","0"
"03/14/2023 14:49:25.132","18.531406628557341776","0","0","0","0","0","0","0","0","0","0"," "," "," "," ","0","2146.5932137917234286","0","0","0","0","0","0"," "," "," "," ","0","2146.5932137917234286","0","0","8066.4640400833941385","8066.4640400833941385","0","0","0","3.0703760027508075758","0.76252781234010802436"
"03/14/2023 14:49:26.131","18.542567295614293954","0","0","0","0","0","0","0","0","0","0"," "," "," "," ","0","1925.5610523451362042","0","0","0","0","0","0"," "," "," "," ","0","1925.5610523451362042","0","0","8198.6466428333460499","8198.6466428333460499","0","3.0468945782722522964","3.0468945782722522964","1.4831348134056843158","1.8740797586535684616"
"03/14/2023 14:49:27.146","18.542192508127119055","0","0","0","0","0","0","0","0","0","0"," "," "," "," ","0","2146.6067415464804071","0","0","0","0","0","0"," "," "," "," ","0","2146.6067415464804071","0","0","12099.772311983097097","12099.772311983097097","1.5317426705398817788","0","0","1.5317426705398817788","0.76245941015347096226"
